"","CNames","SUNSID","Acres","BUFF_DIST","Method","People","Start","Buffer","Area"
"20","Buff03km","APA04",2.38000011444092,300,"All Parcels",93,"Footprint","Buffer 0.3km","Full Buffer"
"21","Buff03km","APA05",0.740000009536743,300,"Landscan Sum",136,"Footprint","Buffer 0.3km","Full Buffer"
"22","Buff03km","APA05",0.740000009536743,300,"Census Population",249.731219116777,"Footprint","Buffer 0.3km","Full Buffer"
"23","Buff03km","APA05",0.740000009536743,300,"Parcel Building Count",110,"Footprint","Buffer 0.3km","Full Buffer"
"24","Buff03km","APA05",0.740000009536743,300,"Residential Parcels",119,"Footprint","Buffer 0.3km","Full Buffer"
"25","Buff03km","APA05",0.740000009536743,300,"All Parcels",184,"Footprint","Buffer 0.3km","Full Buffer"
"26","Buff03km","APA06",1.28999996185303,300,"Landscan Sum",138,"Footprint","Buffer 0.3km","Full Buffer"
"27","Buff03km","APA06",1.28999996185303,300,"Census Population",221.540797409761,"Footprint","Buffer 0.3km","Full Buffer"
"28","Buff03km","APA06",1.28999996185303,300,"Parcel Building Count",122,"Footprint","Buffer 0.3km","Full Buffer"
"29","Buff03km","APA06",1.28999996185303,300,"Residential Parcels",128,"Footprint","Buffer 0.3km","Full Buffer"
"30","Buff03km","APA06",1.28999996185303,300,"All Parcels",158,"Footprint","Buffer 0.3km","Full Buffer"
"31","Buff03km","APA07",1.12000000476837,300,"Landscan Sum",31,"Footprint","Buffer 0.3km","Full Buffer"
"32","Buff03km","APA07",1.12000000476837,300,"Census Population",169.050889859822,"Footprint","Buffer 0.3km","Full Buffer"
"33","Buff03km","APA07",1.12000000476837,300,"Parcel Building Count",123,"Footprint","Buffer 0.3km","Full Buffer"
"34","Buff03km","APA07",1.12000000476837,300,"Residential Parcels",121,"Footprint","Buffer 0.3km","Full Buffer"
"35","Buff03km","APA07",1.12000000476837,300,"All Parcels",199,"Footprint","Buffer 0.3km","Full Buffer"
"36","Buff03km","APA08",0.379999995231628,300,"Landscan Sum",37,"Footprint","Buffer 0.3km","Full Buffer"
"37","Buff03km","APA08",0.379999995231628,300,"Census Population",181.599103381884,"Footprint","Buffer 0.3km","Full Buffer"
"38","Buff03km","APA08",0.379999995231628,300,"Parcel Building Count",126,"Footprint","Buffer 0.3km","Full Buffer"
"39","Buff03km","APA08",0.379999995231628,300,"Residential Parcels",139,"Footprint","Buffer 0.3km","Full Buffer"
"40","Buff03km","APA08",0.379999995231628,300,"All Parcels",193,"Footprint","Buffer 0.3km","Full Buffer"
"41","Buff03km","BAY01",674.590026855469,300,"Landscan Sum",78,"Footprint","Buffer 0.3km","Full Buffer"
"42","Buff03km","BAY01",674.590026855469,300,"Census Population",149.35877116899,"Footprint","Buffer 0.3km","Full Buffer"
"43","Buff03km","BAY01",674.590026855469,300,"Parcel Building Count",106,"Footprint","Buffer 0.3km","Full Buffer"
"44","Buff03km","BAY01",674.590026855469,300,"Residential Parcels",93,"Footprint","Buffer 0.3km","Full Buffer"
"45","Buff03km","BAY01",674.590026855469,300,"All Parcels",196,"Footprint","Buffer 0.3km","Full Buffer"
"46","Buff03km","BAY03",4744.02001953125,300,"Landscan Sum",0,"Footprint","Buffer 0.3km","Full Buffer"
"47","Buff03km","BAY03",4744.02001953125,300,"Census Population",0,"Footprint","Buffer 0.3km","Full Buffer"
"48","Buff03km","BAY03",4744.02001953125,300,"Parcel Building Count",0,"Footprint","Buffer 0.3km","Full Buffer"
"49","Buff03km","BAY03",4744.02001953125,300,"Residential Parcels",0,"Footprint","Buffer 0.3km","Full Buffer"
"50","Buff03km","BAY03",4744.02001953125,300,"All Parcels",5,"Footprint","Buffer 0.3km","Full Buffer"
"51","Buff03km","BAY04",25.5499992370606,300,"Landscan Sum",3,"Footprint","Buffer 0.3km","Full Buffer"
"52","Buff03km","BAY04",25.5499992370606,300,"Census Population",12.8387505122685,"Footprint","Buffer 0.3km","Full Buffer"
"53","Buff03km","BAY04",25.5499992370606,300,"Parcel Building Count",1,"Footprint","Buffer 0.3km","Full Buffer"
"54","Buff03km","BAY04",25.5499992370606,300,"Residential Parcels",2,"Footprint","Buffer 0.3km","Full Buffer"
"55","Buff03km","BAY04",25.5499992370606,300,"All Parcels",9,"Footprint","Buffer 0.3km","Full Buffer"
"56","Buff03km","BAY06",593.049987792969,300,"Landscan Sum",810,"Footprint","Buffer 0.3km","Full Buffer"
"57","Buff03km","BAY06",593.049987792969,300,"Census Population",797.645045559226,"Footprint","Buffer 0.3km","Full Buffer"
"58","Buff03km","BAY06",593.049987792969,300,"Parcel Building Count",274,"Footprint","Buffer 0.3km","Full Buffer"
"59","Buff03km","BAY06",593.049987792969,300,"Residential Parcels",137,"Footprint","Buffer 0.3km","Full Buffer"
"60","Buff03km","BAY06",593.049987792969,300,"All Parcels",396,"Footprint","Buffer 0.3km","Full Buffer"
"61","Buff03km","BAY07",746.010009765625,300,"Landscan Sum",1370,"Footprint","Buffer 0.3km","Full Buffer"
"62","Buff03km","BAY07",746.010009765625,300,"Census Population",1243.82194549245,"Footprint","Buffer 0.3km","Full Buffer"
"63","Buff03km","BAY07",746.010009765625,300,"Parcel Building Count",531,"Footprint","Buffer 0.3km","Full Buffer"
"64","Buff03km","BAY07",746.010009765625,300,"Residential Parcels",503,"Footprint","Buffer 0.3km","Full Buffer"
"65","Buff03km","BAY07",746.010009765625,300,"All Parcels",695,"Footprint","Buffer 0.3km","Full Buffer"
"66","Buff03km","BAY08",401.5,300,"Landscan Sum",770,"Footprint","Buffer 0.3km","Full Buffer"
"67","Buff03km","BAY08",401.5,300,"Census Population",938.822926626584,"Footprint","Buffer 0.3km","Full Buffer"
"68","Buff03km","BAY08",401.5,300,"Parcel Building Count",476,"Footprint","Buffer 0.3km","Full Buffer"
"69","Buff03km","BAY08",401.5,300,"Residential Parcels",403,"Footprint","Buffer 0.3km","Full Buffer"
"70","Buff03km","BAY08",401.5,300,"All Parcels",574,"Footprint","Buffer 0.3km","Full Buffer"
"71","Buff03km","BAY09",3177.81005859375,300,"Landscan Sum",1017,"Footprint","Buffer 0.3km","Full Buffer"
"72","Buff03km","BAY09",3177.81005859375,300,"Census Population",1391.3103889168,"Footprint","Buffer 0.3km","Full Buffer"
"73","Buff03km","BAY09",3177.81005859375,300,"Parcel Building Count",69,"Footprint","Buffer 0.3km","Full Buffer"
"74","Buff03km","BAY09",3177.81005859375,300,"Residential Parcels",57,"Footprint","Buffer 0.3km","Full Buffer"
"75","Buff03km","BAY09",3177.81005859375,300,"All Parcels",167,"Footprint","Buffer 0.3km","Full Buffer"
"76","Buff03km","CAL01",6.67000007629395,300,"Landscan Sum",153,"Footprint","Buffer 0.3km","Full Buffer"
"77","Buff03km","CAL01",6.67000007629395,300,"Census Population",109.694783593597,"Footprint","Buffer 0.3km","Full Buffer"
"78","Buff03km","CAL01",6.67000007629395,300,"Parcel Building Count",66,"Footprint","Buffer 0.3km","Full Buffer"
"79","Buff03km","CAL01",6.67000007629395,300,"Residential Parcels",79,"Footprint","Buffer 0.3km","Full Buffer"
"80","Buff03km","CAL01",6.67000007629395,300,"All Parcels",94,"Footprint","Buffer 0.3km","Full Buffer"
"81","Buff03km","CAL02",25.8899993896484,300,"Landscan Sum",48,"Footprint","Buffer 0.3km","Full Buffer"
"82","Buff03km","CAL02",25.8899993896484,300,"Census Population",139.660344483065,"Footprint","Buffer 0.3km","Full Buffer"
"83","Buff03km","CAL02",25.8899993896484,300,"Parcel Building Count",31,"Footprint","Buffer 0.3km","Full Buffer"
"84","Buff03km","CAL02",25.8899993896484,300,"Residential Parcels",41,"Footprint","Buffer 0.3km","Full Buffer"
"85","Buff03km","CAL02",25.8899993896484,300,"All Parcels",65,"Footprint","Buffer 0.3km","Full Buffer"
"86","Buff03km","CAR01",4.05000019073486,300,"Landscan Sum",30,"Footprint","Buffer 0.3km","Full Buffer"
"87","Buff03km","CAR01",4.05000019073486,300,"Census Population",68.1779914631472,"Footprint","Buffer 0.3km","Full Buffer"
"88","Buff03km","CAR01",4.05000019073486,300,"Parcel Building Count",52,"Footprint","Buffer 0.3km","Full Buffer"
"89","Buff03km","CAR01",4.05000019073486,300,"Residential Parcels",59,"Footprint","Buffer 0.3km","Full Buffer"
"90","Buff03km","CAR01",4.05000019073486,300,"All Parcels",99,"Footprint","Buffer 0.3km","Full Buffer"
"91","Buff03km","CAR02",11.5100002288818,300,"Landscan Sum",322,"Footprint","Buffer 0.3km","Full Buffer"
"92","Buff03km","CAR02",11.5100002288818,300,"Census Population",209.228169575509,"Footprint","Buffer 0.3km","Full Buffer"
"93","Buff03km","CAR02",11.5100002288818,300,"Parcel Building Count",177,"Footprint","Buffer 0.3km","Full Buffer"
"94","Buff03km","CAR02",11.5100002288818,300,"Residential Parcels",137,"Footprint","Buffer 0.3km","Full Buffer"
"95","Buff03km","CAR02",11.5100002288818,300,"All Parcels",242,"Footprint","Buffer 0.3km","Full Buffer"
"96","Buff03km","CAR03",90.9499969482422,300,"Landscan Sum",163,"Footprint","Buffer 0.3km","Full Buffer"
"97","Buff03km","CAR03",90.9499969482422,300,"Census Population",116.939480688996,"Footprint","Buffer 0.3km","Full Buffer"
"98","Buff03km","CAR03",90.9499969482422,300,"Parcel Building Count",38,"Footprint","Buffer 0.3km","Full Buffer"
"99","Buff03km","CAR03",90.9499969482422,300,"Residential Parcels",35,"Footprint","Buffer 0.3km","Full Buffer"
"100","Buff03km","CAR03",90.9499969482422,300,"All Parcels",87,"Footprint","Buffer 0.3km","Full Buffer"
"101","Buff03km","CAR04",5.90999984741211,300,"Landscan Sum",112,"Footprint","Buffer 0.3km","Full Buffer"
"102","Buff03km","CAR04",5.90999984741211,300,"Census Population",57.1000231976216,"Footprint","Buffer 0.3km","Full Buffer"
"103","Buff03km","CAR04",5.90999984741211,300,"Parcel Building Count",57,"Footprint","Buffer 0.3km","Full Buffer"
"104","Buff03km","CAR04",5.90999984741211,300,"Residential Parcels",50,"Footprint","Buffer 0.3km","Full Buffer"
"105","Buff03km","CAR04",5.90999984741211,300,"All Parcels",199,"Footprint","Buffer 0.3km","Full Buffer"
"106","Buff03km","FRA01",837.700012207031,300,"Landscan Sum",7,"Footprint","Buffer 0.3km","Full Buffer"
"107","Buff03km","FRA01",837.700012207031,300,"Census Population",9.84678653521818,"Footprint","Buffer 0.3km","Full Buffer"
"108","Buff03km","FRA01",837.700012207031,300,"Parcel Building Count",3,"Footprint","Buffer 0.3km","Full Buffer"
"109","Buff03km","FRA01",837.700012207031,300,"Residential Parcels",3,"Footprint","Buffer 0.3km","Full Buffer"
"110","Buff03km","FRA01",837.700012207031,300,"All Parcels",42,"Footprint","Buffer 0.3km","Full Buffer"
"111","Buff03km","FRA02",498.089996337891,300,"Landscan Sum",167,"Footprint","Buffer 0.3km","Full Buffer"
"112","Buff03km","FRA02",498.089996337891,300,"Census Population",174.353085192851,"Footprint","Buffer 0.3km","Full Buffer"
"113","Buff03km","FRA02",498.089996337891,300,"Parcel Building Count",90,"Footprint","Buffer 0.3km","Full Buffer"
"114","Buff03km","FRA02",498.089996337891,300,"Residential Parcels",54,"Footprint","Buffer 0.3km","Full Buffer"
"115","Buff03km","FRA02",498.089996337891,300,"All Parcels",226,"Footprint","Buffer 0.3km","Full Buffer"
"116","Buff03km","FRA03",244.070007324219,300,"Landscan Sum",40,"Footprint","Buffer 0.3km","Full Buffer"
"117","Buff03km","FRA03",244.070007324219,300,"Census Population",118.142945611042,"Footprint","Buffer 0.3km","Full Buffer"
"118","Buff03km","FRA03",244.070007324219,300,"Parcel Building Count",135,"Footprint","Buffer 0.3km","Full Buffer"
"119","Buff03km","FRA03",244.070007324219,300,"Residential Parcels",94,"Footprint","Buffer 0.3km","Full Buffer"
"120","Buff03km","FRA03",244.070007324219,300,"All Parcels",367,"Footprint","Buffer 0.3km","Full Buffer"
"121","Buff03km","FRA04",556.989990234375,300,"Landscan Sum",457,"Footprint","Buffer 0.3km","Full Buffer"
"122","Buff03km","FRA04",556.989990234375,300,"Census Population",420.509439220705,"Footprint","Buffer 0.3km","Full Buffer"
"123","Buff03km","FRA04",556.989990234375,300,"Parcel Building Count",922,"Footprint","Buffer 0.3km","Full Buffer"
"124","Buff03km","FRA04",556.989990234375,300,"Residential Parcels",940,"Footprint","Buffer 0.3km","Full Buffer"
"125","Buff03km","FRA04",556.989990234375,300,"All Parcels",1468,"Footprint","Buffer 0.3km","Full Buffer"
"126","Buff03km","FRA05",59.3699989318848,300,"Landscan Sum",100,"Footprint","Buffer 0.3km","Full Buffer"
"127","Buff03km","FRA05",59.3699989318848,300,"Census Population",72.38083846477,"Footprint","Buffer 0.3km","Full Buffer"
"128","Buff03km","FRA05",59.3699989318848,300,"Parcel Building Count",105,"Footprint","Buffer 0.3km","Full Buffer"
"129","Buff03km","FRA05",59.3699989318848,300,"Residential Parcels",88,"Footprint","Buffer 0.3km","Full Buffer"
"130","Buff03km","FRA05",59.3699989318848,300,"All Parcels",252,"Footprint","Buffer 0.3km","Full Buffer"
"131","Buff03km","FRA06",28.2999992370606,300,"Landscan Sum",0,"Footprint","Buffer 0.3km","Full Buffer"
"132","Buff03km","FRA06",28.2999992370606,300,"Census Population",1.16191671830553,"Footprint","Buffer 0.3km","Full Buffer"
"133","Buff03km","FRA06",28.2999992370606,300,"Parcel Building Count",0,"Footprint","Buffer 0.3km","Full Buffer"
"134","Buff03km","FRA06",28.2999992370606,300,"Residential Parcels",0,"Footprint","Buffer 0.3km","Full Buffer"
"135","Buff03km","FRA06",28.2999992370606,300,"All Parcels",8,"Footprint","Buffer 0.3km","Full Buffer"
"136","Buff03km","FRA07",15.6999998092651,300,"Landscan Sum",0,"Footprint","Buffer 0.3km","Full Buffer"
"137","Buff03km","FRA07",15.6999998092651,300,"Census Population",2.71356636345228,"Footprint","Buffer 0.3km","Full Buffer"
"138","Buff03km","FRA07",15.6999998092651,300,"Parcel Building Count",0,"Footprint","Buffer 0.3km","Full Buffer"
"139","Buff03km","FRA07",15.6999998092651,300,"Residential Parcels",0,"Footprint","Buffer 0.3km","Full Buffer"
"140","Buff03km","FRA07",15.6999998092651,300,"All Parcels",8,"Footprint","Buffer 0.3km","Full Buffer"
"141","Buff03km","FRA08",225.940002441406,300,"Landscan Sum",286,"Footprint","Buffer 0.3km","Full Buffer"
"142","Buff03km","FRA08",225.940002441406,300,"Census Population",89.524431098909,"Footprint","Buffer 0.3km","Full Buffer"
"143","Buff03km","FRA08",225.940002441406,300,"Parcel Building Count",402,"Footprint","Buffer 0.3km","Full Buffer"
"144","Buff03km","FRA08",225.940002441406,300,"Residential Parcels",418,"Footprint","Buffer 0.3km","Full Buffer"
"145","Buff03km","FRA08",225.940002441406,300,"All Parcels",689,"Footprint","Buffer 0.3km","Full Buffer"
"146","Buff03km","FRA09",93.5999984741211,300,"Landscan Sum",144,"Footprint","Buffer 0.3km","Full Buffer"
"147","Buff03km","FRA09",93.5999984741211,300,"Census Population",36.9291831199953,"Footprint","Buffer 0.3km","Full Buffer"
"148","Buff03km","FRA09",93.5999984741211,300,"Parcel Building Count",218,"Footprint","Buffer 0.3km","Full Buffer"
"149","Buff03km","FRA09",93.5999984741211,300,"Residential Parcels",227,"Footprint","Buffer 0.3km","Full Buffer"
"150","Buff03km","FRA09",93.5999984741211,300,"All Parcels",302,"Footprint","Buffer 0.3km","Full Buffer"
"151","Buff03km","FRA10",112.569999694824,300,"Landscan Sum",53,"Footprint","Buffer 0.3km","Full Buffer"
"152","Buff03km","FRA10",112.569999694824,300,"Census Population",17.5342716479844,"Footprint","Buffer 0.3km","Full Buffer"
"153","Buff03km","FRA10",112.569999694824,300,"Parcel Building Count",65,"Footprint","Buffer 0.3km","Full Buffer"
"154","Buff03km","FRA10",112.569999694824,300,"Residential Parcels",70,"Footprint","Buffer 0.3km","Full Buffer"
"155","Buff03km","FRA10",112.569999694824,300,"All Parcels",256,"Footprint","Buffer 0.3km","Full Buffer"
"156","Buff03km","FRA11",50.8199996948242,300,"Landscan Sum",77,"Footprint","Buffer 0.3km","Full Buffer"
"157","Buff03km","FRA11",50.8199996948242,300,"Census Population",33.9046681395052,"Footprint","Buffer 0.3km","Full Buffer"
"158","Buff03km","FRA11",50.8199996948242,300,"Parcel Building Count",90,"Footprint","Buffer 0.3km","Full Buffer"
"159","Buff03km","FRA11",50.8199996948242,300,"Residential Parcels",95,"Footprint","Buffer 0.3km","Full Buffer"
"160","Buff03km","FRA11",50.8199996948242,300,"All Parcels",163,"Footprint","Buffer 0.3km","Full Buffer"
"161","Buff03km","FRA12",2.80999994277954,300,"Landscan Sum",2,"Footprint","Buffer 0.3km","Full Buffer"
"162","Buff03km","FRA12",2.80999994277954,300,"Census Population",31.2877106274682,"Footprint","Buffer 0.3km","Full Buffer"
"163","Buff03km","FRA12",2.80999994277954,300,"Parcel Building Count",37,"Footprint","Buffer 0.3km","Full Buffer"
"164","Buff03km","FRA12",2.80999994277954,300,"Residential Parcels",44,"Footprint","Buffer 0.3km","Full Buffer"
"165","Buff03km","FRA12",2.80999994277954,300,"All Parcels",104,"Footprint","Buffer 0.3km","Full Buffer"
"166","Buff03km","GUL01",58.6399993896484,300,"Landscan Sum",53,"Footprint","Buffer 0.3km","Full Buffer"
"167","Buff03km","GUL01",58.6399993896484,300,"Census Population",38.7342940929779,"Footprint","Buffer 0.3km","Full Buffer"
"168","Buff03km","GUL01",58.6399993896484,300,"Parcel Building Count",77,"Footprint","Buffer 0.3km","Full Buffer"
"169","Buff03km","GUL01",58.6399993896484,300,"Residential Parcels",72,"Footprint","Buffer 0.3km","Full Buffer"
"170","Buff03km","GUL01",58.6399993896484,300,"All Parcels",173,"Footprint","Buffer 0.3km","Full Buffer"
"171","Buff03km","GUL02",47.8300018310547,300,"Landscan Sum",16,"Footprint","Buffer 0.3km","Full Buffer"
"172","Buff03km","GUL02",47.8300018310547,300,"Census Population",22.6917826103845,"Footprint","Buffer 0.3km","Full Buffer"
"173","Buff03km","GUL02",47.8300018310547,300,"Parcel Building Count",28,"Footprint","Buffer 0.3km","Full Buffer"
"174","Buff03km","GUL02",47.8300018310547,300,"Residential Parcels",31,"Footprint","Buffer 0.3km","Full Buffer"
"175","Buff03km","GUL02",47.8300018310547,300,"All Parcels",89,"Footprint","Buffer 0.3km","Full Buffer"
"176","Buff03km","LYN01",78.4000015258789,300,"Landscan Sum",104,"Footprint","Buffer 0.3km","Full Buffer"
"177","Buff03km","LYN01",78.4000015258789,300,"Census Population",132.798974056393,"Footprint","Buffer 0.3km","Full Buffer"
"178","Buff03km","LYN01",78.4000015258789,300,"Parcel Building Count",48,"Footprint","Buffer 0.3km","Full Buffer"
"179","Buff03km","LYN01",78.4000015258789,300,"Residential Parcels",51,"Footprint","Buffer 0.3km","Full Buffer"
"180","Buff03km","LYN01",78.4000015258789,300,"All Parcels",85,"Footprint","Buffer 0.3km","Full Buffer"
"181","Buff03km","LYN02",373.929992675781,300,"Landscan Sum",166,"Footprint","Buffer 0.3km","Full Buffer"
"182","Buff03km","LYN02",373.929992675781,300,"Census Population",268.957436290391,"Footprint","Buffer 0.3km","Full Buffer"
"183","Buff03km","LYN02",373.929992675781,300,"Parcel Building Count",79,"Footprint","Buffer 0.3km","Full Buffer"
"184","Buff03km","LYN02",373.929992675781,300,"Residential Parcels",74,"Footprint","Buffer 0.3km","Full Buffer"
"185","Buff03km","LYN02",373.929992675781,300,"All Parcels",119,"Footprint","Buffer 0.3km","Full Buffer"
"186","Buff03km","LYN03",55.9799995422363,300,"Landscan Sum",390,"Footprint","Buffer 0.3km","Full Buffer"
"187","Buff03km","LYN03",55.9799995422363,300,"Census Population",389.685029396652,"Footprint","Buffer 0.3km","Full Buffer"
"188","Buff03km","LYN03",55.9799995422363,300,"Parcel Building Count",146,"Footprint","Buffer 0.3km","Full Buffer"
"189","Buff03km","LYN03",55.9799995422363,300,"Residential Parcels",160,"Footprint","Buffer 0.3km","Full Buffer"
"190","Buff03km","LYN03",55.9799995422363,300,"All Parcels",218,"Footprint","Buffer 0.3km","Full Buffer"
"191","Buff03km","LYN05",44.3600006103516,300,"Landscan Sum",644,"Footprint","Buffer 0.3km","Full Buffer"
"192","Buff03km","LYN05",44.3600006103516,300,"Census Population",783.947876059708,"Footprint","Buffer 0.3km","Full Buffer"
"193","Buff03km","LYN05",44.3600006103516,300,"Parcel Building Count",320,"Footprint","Buffer 0.3km","Full Buffer"
"194","Buff03km","LYN05",44.3600006103516,300,"Residential Parcels",342,"Footprint","Buffer 0.3km","Full Buffer"
"195","Buff03km","LYN05",44.3600006103516,300,"All Parcels",403,"Footprint","Buffer 0.3km","Full Buffer"
"196","Buff03km","MEX01",87.379997253418,300,"Landscan Sum",75,"Footprint","Buffer 0.3km","Full Buffer"
"197","Buff03km","MEX01",87.379997253418,300,"Census Population",85.5497601052071,"Footprint","Buffer 0.3km","Full Buffer"
"198","Buff03km","MEX01",87.379997253418,300,"Parcel Building Count",185,"Footprint","Buffer 0.3km","Full Buffer"
"199","Buff03km","MEX01",87.379997253418,300,"Residential Parcels",165,"Footprint","Buffer 0.3km","Full Buffer"
"200","Buff03km","MEX01",87.379997253418,300,"All Parcels",334,"Footprint","Buffer 0.3km","Full Buffer"
"201","Buff03km","MEX02",21.0699996948242,300,"Landscan Sum",130,"Footprint","Buffer 0.3km","Full Buffer"
"202","Buff03km","MEX02",21.0699996948242,300,"Census Population",169.226480699508,"Footprint","Buffer 0.3km","Full Buffer"
"203","Buff03km","MEX02",21.0699996948242,300,"Parcel Building Count",250,"Footprint","Buffer 0.3km","Full Buffer"
"204","Buff03km","MEX02",21.0699996948242,300,"Residential Parcels",255,"Footprint","Buffer 0.3km","Full Buffer"
"205","Buff03km","MEX02",21.0699996948242,300,"All Parcels",509,"Footprint","Buffer 0.3km","Full Buffer"
"206","Buff03km","MEX03",18.4099998474121,300,"Landscan Sum",172,"Footprint","Buffer 0.3km","Full Buffer"
"207","Buff03km","MEX03",18.4099998474121,300,"Census Population",242.953793086127,"Footprint","Buffer 0.3km","Full Buffer"
"208","Buff03km","MEX03",18.4099998474121,300,"Parcel Building Count",392,"Footprint","Buffer 0.3km","Full Buffer"
"209","Buff03km","MEX03",18.4099998474121,300,"Residential Parcels",385,"Footprint","Buffer 0.3km","Full Buffer"
"210","Buff03km","MEX03",18.4099998474121,300,"All Parcels",760,"Footprint","Buffer 0.3km","Full Buffer"
"211","Buff03km","MEX04",106.099998474121,300,"Landscan Sum",144,"Footprint","Buffer 0.3km","Full Buffer"
"212","Buff03km","MEX04",106.099998474121,300,"Census Population",210.298087727179,"Footprint","Buffer 0.3km","Full Buffer"
"213","Buff03km","MEX04",106.099998474121,300,"Parcel Building Count",208,"Footprint","Buffer 0.3km","Full Buffer"
"214","Buff03km","MEX04",106.099998474121,300,"Residential Parcels",218,"Footprint","Buffer 0.3km","Full Buffer"
"215","Buff03km","MEX04",106.099998474121,300,"All Parcels",338,"Footprint","Buffer 0.3km","Full Buffer"
"216","Buff03km","PAN01",5.76999998092651,300,"Landscan Sum",21,"Footprint","Buffer 0.3km","Full Buffer"
"217","Buff03km","PAN01",5.76999998092651,300,"Census Population",7.60566426861854,"Footprint","Buffer 0.3km","Full Buffer"
"218","Buff03km","PAN01",5.76999998092651,300,"Parcel Building Count",24,"Footprint","Buffer 0.3km","Full Buffer"
"219","Buff03km","PAN01",5.76999998092651,300,"Residential Parcels",8,"Footprint","Buffer 0.3km","Full Buffer"
"220","Buff03km","PAN01",5.76999998092651,300,"All Parcels",36,"Footprint","Buffer 0.3km","Full Buffer"
"221","Buff03km","PAN04",5.26000022888184,300,"Landscan Sum",388,"Footprint","Buffer 0.3km","Full Buffer"
"222","Buff03km","PAN04",5.26000022888184,300,"Census Population",318.963698448376,"Footprint","Buffer 0.3km","Full Buffer"
"223","Buff03km","PAN04",5.26000022888184,300,"Parcel Building Count",229,"Footprint","Buffer 0.3km","Full Buffer"
"224","Buff03km","PAN04",5.26000022888184,300,"Residential Parcels",184,"Footprint","Buffer 0.3km","Full Buffer"
"225","Buff03km","PAN04",5.26000022888184,300,"All Parcels",243,"Footprint","Buffer 0.3km","Full Buffer"
"226","Buff03km","PAN05",10.9499998092651,300,"Landscan Sum",497,"Footprint","Buffer 0.3km","Full Buffer"
"227","Buff03km","PAN05",10.9499998092651,300,"Census Population",523.701233498582,"Footprint","Buffer 0.3km","Full Buffer"
"228","Buff03km","PAN05",10.9499998092651,300,"Parcel Building Count",264,"Footprint","Buffer 0.3km","Full Buffer"
"229","Buff03km","PAN05",10.9499998092651,300,"Residential Parcels",230,"Footprint","Buffer 0.3km","Full Buffer"
"230","Buff03km","PAN05",10.9499998092651,300,"All Parcels",302,"Footprint","Buffer 0.3km","Full Buffer"
"231","Buff03km","PAN07",5.98999977111816,300,"Landscan Sum",584,"Footprint","Buffer 0.3km","Full Buffer"
"232","Buff03km","PAN07",5.98999977111816,300,"Census Population",631.330492346544,"Footprint","Buffer 0.3km","Full Buffer"
"233","Buff03km","PAN07",5.98999977111816,300,"Parcel Building Count",282,"Footprint","Buffer 0.3km","Full Buffer"
"234","Buff03km","PAN07",5.98999977111816,300,"Residential Parcels",300,"Footprint","Buffer 0.3km","Full Buffer"
"235","Buff03km","PAN07",5.98999977111816,300,"All Parcels",327,"Footprint","Buffer 0.3km","Full Buffer"
"236","Buff03km","PAN09",319.5,300,"Landscan Sum",1802,"Footprint","Buffer 0.3km","Full Buffer"
